iter	Passed	Remaining
0	187	187037
1	248	123905
2	295	98137
3	339	84588
4	399	79466
5	485	80468
6	608	86256
7	687	85200
8	756	83279
9	826	81831
10	907	81597
11	967	79616
12	1008	76553
13	1058	74519
14	1115	73278
15	1161	71445
16	1232	71256
17	1299	70879
18	1386	71562
19	1517	74375
20	1663	77538
21	1761	78289
22	1870	79467
23	1972	80228
24	2051	80006
25	2136	80044
26	2231	80431
27	2300	79855
28	2368	79290
29	2448	79161
30	2545	79577
31	2618	79211
32	2688	78773
33	2765	78569
34	2830	78042
35	2902	77714
36	2934	76381
37	3011	76226
38	3085	76020
39	3160	75849
40	3228	75526
41	3283	74899
42	3339	74330
43	3394	73756
44	3471	73669
45	3535	73323
46	3626	73537
47	3701	73407
48	3755	72896
49	3797	72157
50	3842	71507
51	3888	70888
52	3932	70260
53	3992	69936
54	4038	69385
55	4103	69167
56	4159	68815
57	4240	68870
58	4307	68693
59	4398	68907
60	4470	68811
61	4562	69024
62	4639	68996
63	4706	68833
64	4773	68662
65	4842	68532
66	4908	68349
67	4977	68225
68	5032	67896
69	5087	67595
70	5152	67416
71	5229	67402
72	5288	67160
73	5342	66856
74	5408	66709
75	5464	66433
76	5528	66273
77	5575	65910
78	5664	66034
79	5763	66282
80	5823	66069
81	5889	65937
82	5957	65820
83	6036	65823
84	6095	65620
85	6146	65319
86	6229	65370
87	6305	65349
88	6367	65173
89	6434	65063
90	6507	65005
91	6550	64647
92	6601	64383
93	6654	64134
94	6723	64048
95	6826	64286
96	6945	64659
97	7007	64493
98	7063	64284
99	7143	64294
100	7273	64739
101	7372	64903
102	7489	65220
103	7585	65355
104	7653	65236
105	7705	64984
106	7766	64814
107	7829	64664
108	7891	64511
109	7967	64462
110	8055	64513
111	8126	64433
112	8227	64580
113	8322	64685
114	8432	64893
115	8511	64863
116	8596	64881
117	8707	65085
118	8826	65342
119	8924	65442
120	9000	65385
121	9058	65190
122	9148	65230
123	9213	65085
124	9292	65045
125	9401	65215
126	9479	65164
127	9526	64897
128	9617	64935
129	9699	64912
130	9790	64948
131	9842	64720
132	9911	64611
133	9981	64504
134	10035	64302
135	10090	64104
136	10178	64114
137	10270	64155
138	10332	63998
139	10373	63720
140	10455	63693
141	10525	63600
142	10586	63443
143	10632	63203
144	10702	63109
145	10758	62931
146	10822	62800
147	10876	62615
148	10936	62460
149	11033	62525
150	11093	62373
151	11150	62207
152	11210	62061
153	11279	61965
154	11334	61792
155	11383	61587
156	11459	61529
157	11527	61432
158	11598	61350
159	11666	61250
160	11743	61198
161	11815	61119
162	11878	60996
163	11946	60896
164	12018	60820
165	12095	60771
166	12161	60663
167	12223	60533
168	12286	60416
169	12395	60521
170	12474	60475
171	12536	60348
172	12613	60294
173	12655	60078
174	12675	59756
175	12693	59430
176	12712	59110
177	12730	58788
178	12748	58470
179	12765	58154
180	12784	57847
181	12800	57533
182	12818	57227
183	12836	56927
184	12852	56621
185	12871	56329
186	12889	56039
187	12910	55763
188	12930	55484
189	12944	55184
190	12958	54886
191	13008	54745
192	13059	54604
193	13110	54468
194	13179	54409
195	13243	54325
196	13300	54215
197	13350	54075
198	13409	53973
199	13474	53897
200	13512	53712
201	13563	53583
202	13650	53592
203	13719	53532
204	13775	53420
205	13865	53442
206	13963	53493
207	14064	53554
208	14158	53585
209	14213	53468
210	14318	53543
211	14458	53742
212	14650	54131
213	14752	54183
214	14875	54313
215	14982	54381
216	15065	54360
217	15133	54286
218	15211	54248
219	15273	54152
220	15334	54052
221	15416	54026
222	15482	53947
223	15553	53881
224	15619	53800
225	15739	53905
226	15820	53874
227	15896	53823
228	15967	53759
229	16043	53710
230	16122	53671
231	16220	53694
232	16317	53715
233	16379	53619
234	16449	53547
235	16526	53500
236	16585	53394
237	16644	53290
238	16692	53151
239	16765	53091
240	16851	53070
241	16926	53016
242	16993	52939
243	17057	52849
244	17118	52752
245	17167	52618
246	17224	52509
247	17291	52433
248	17357	52352
249	17410	52231
250	17466	52122
251	17531	52039
252	17609	51991
253	17689	51954
254	17762	51893
255	17828	51814
256	17905	51765
257	17966	51672
258	18027	51577
259	18107	51535
260	18165	51433
261	18225	51336
262	18298	51276
263	18364	51199
264	18437	51137
265	18498	51043
266	18548	50920
267	18606	50821
268	18669	50734
269	18736	50658
270	18795	50560
271	18856	50469
272	18923	50393
273	18994	50328
274	19090	50328
275	19161	50263
276	19233	50202
277	19307	50142
278	19376	50072
279	19434	49974
280	19488	49864
281	19564	49812
282	19630	49736
283	19696	49656
284	19731	49502
285	19776	49371
286	19824	49250
287	19865	49112
288	19906	48974
289	19957	48862
290	20026	48792
291	20124	48794
292	20185	48707
293	20274	48685
294	20341	48612
295	20409	48541
296	20495	48513
297	20569	48454
298	20619	48341
299	20693	48285
300	20755	48199
301	20808	48094
302	20860	47985
303	20914	47883
304	21037	47937
305	21214	48113
306	21384	48272
307	21550	48419
308	21670	48459
309	21775	48468
310	21886	48487
311	21946	48395
312	22010	48311
313	22101	48284
314	22197	48270
315	22310	48291
316	22396	48255
317	22486	48225
318	22567	48176
319	22671	48177
320	22760	48144
321	22850	48113
322	22918	48036
323	22987	47961
324	23055	47884
325	23139	47839
326	23222	47793
327	23297	47732
328	23364	47652
329	23470	47652
330	23553	47604
331	23648	47582
332	23732	47536
333	23817	47491
334	23895	47435
335	23965	47360
336	24044	47303
337	24123	47247
338	24189	47166
339	24279	47130
340	24346	47050
341	24412	46968
342	24507	46942
343	24615	46940
344	24701	46897
345	24775	46829
346	24865	46793
347	24915	46680
348	24984	46603
349	25074	46567
350	25162	46525
351	25235	46456
352	25307	46385
353	25391	46335
354	25445	46231
355	25506	46140
356	25570	46055
357	25646	45991
358	25758	45992
359	25847	45950
360	25910	45863
361	25973	45777
362	26044	45703
363	26096	45596
364	26149	45493
365	26232	45440
366	26318	45394
367	26345	45245
368	26366	45087
369	26384	44925
370	26404	44766
371	26422	44605
372	26439	44444
373	26458	44286
374	26477	44128
375	26496	43972
376	26516	43819
377	26542	43675
378	26565	43527
379	26584	43374
380	26602	43220
381	26619	43065
382	26636	42910
383	26652	42754
384	26668	42600
385	26682	42443
386	26697	42287
387	26712	42134
388	26728	41981
389	26743	41828
390	26758	41677
391	26773	41525
392	26789	41377
393	26806	41229
394	26824	41085
395	26840	40938
396	26858	40794
397	26875	40650
398	26891	40506
399	26907	40361
400	26924	40218
401	26939	40073
402	26953	39928
403	26966	39781
404	26981	39640
405	26994	39494
406	27010	39354
407	27024	39211
408	27037	39069
409	27052	38929
410	27067	38789
411	27080	38648
412	27094	38509
413	27110	38373
414	27125	38237
415	27141	38102
416	27158	37969
417	27173	37835
418	27187	37699
419	27203	37567
420	27218	37433
421	27234	37301
422	27249	37169
423	27264	37038
424	27278	36906
425	27294	36777
426	27311	36649
427	27326	36520
428	27343	36394
429	27358	36265
430	27372	36137
431	27387	36009
432	27402	35882
433	27418	35757
434	27432	35631
435	27447	35505
436	27463	35381
437	27478	35257
438	27491	35131
439	27506	35007
440	27520	34884
441	27536	34762
442	27550	34640
443	27566	34520
444	27582	34401
445	27598	34282
446	27614	34162
447	27630	34044
448	27646	33927
449	27662	33809
450	27676	33690
451	27690	33571
452	27704	33453
453	27720	33337
454	27733	33219
455	27747	33102
456	27763	32987
457	27779	32873
458	27797	32763
459	27812	32649
460	27828	32537
461	27845	32425
462	27860	32312
463	27874	32200
464	27889	32087
465	27902	31974
466	27917	31862
467	27930	31750
468	27944	31638
469	27959	31528
470	27974	31419
471	27988	31309
472	28001	31197
473	28014	31088
474	28028	30978
475	28042	30870
476	28056	30761
477	28069	30653
478	28083	30546
479	28097	30439
480	28111	30332
481	28128	30229
482	28145	30126
483	28160	30021
484	28174	29916
485	28189	29813
486	28202	29708
487	28215	29603
488	28230	29500
489	28245	29398
490	28261	29297
491	28278	29197
492	28295	29098
493	28310	28998
494	28326	28898
495	28341	28798
496	28355	28697
497	28369	28597
498	28384	28498
499	28398	28398
500	28411	28297
501	28425	28199
502	28439	28100
503	28454	28002
504	28469	27905
505	28483	27807
506	28496	27709
507	28510	27612
508	28524	27516
509	28539	27419
510	28552	27323
511	28566	27227
512	28580	27131
513	28592	27034
514	28607	26940
515	28620	26846
516	28635	26751
517	28649	26658
518	28663	26564
519	28677	26471
520	28690	26377
521	28705	26285
522	28719	26193
523	28734	26102
524	28750	26012
525	28765	25922
526	28781	25832
527	28795	25741
528	28810	25651
529	28824	25561
530	28838	25471
531	28852	25381
532	28867	25292
533	28880	25203
534	28895	25115
535	28909	25026
536	28924	24938
537	28938	24850
538	28952	24763
539	28967	24675
540	28980	24587
541	28993	24500
542	29007	24413
543	29021	24326
544	29034	24239
545	29048	24153
546	29060	24066
547	29075	23981
548	29087	23895
549	29101	23809
550	29114	23725
551	29128	23640
552	29142	23556
553	29156	23472
554	29169	23388
555	29182	23303
556	29196	23220
557	29209	23137
558	29225	23056
559	29241	22975
560	29256	22894
561	29273	22814
562	29289	22734
563	29304	22654
564	29319	22573
565	29333	22492
566	29346	22411
567	29360	22330
568	29374	22250
569	29388	22170
570	29403	22091
571	29417	22011
572	29429	21930
573	29443	21851
574	29456	21772
575	29470	21693
576	29483	21614
577	29498	21536
578	29511	21458
579	29526	21381
580	29541	21304
581	29556	21227
582	29571	21151
583	29584	21073
584	29597	20996
585	29611	20919
586	29624	20843
587	29638	20767
588	29652	20691
589	29665	20615
590	29678	20539
591	29691	20463
592	29705	20388
593	29719	20313
594	29733	20239
595	29749	20165
596	29766	20093
597	29781	20020
598	29796	19947
599	29810	19873
600	29823	19799
601	29837	19726
602	29850	19652
603	29863	19579
604	29877	19506
605	29891	19434
606	29904	19361
607	29918	19289
608	29931	19217
609	29944	19144
610	29957	19072
611	29970	19000
612	29983	18929
613	29996	18858
614	30010	18787
615	30024	18716
616	30038	18646
617	30052	18575
618	30067	18506
619	30082	18437
620	30096	18368
621	30110	18298
622	30125	18230
623	30140	18161
624	30155	18093
625	30167	18023
626	30181	17954
627	30195	17886
628	30208	17817
629	30227	17752
630	30243	17685
631	30260	17620
632	30276	17553
633	30291	17486
634	30306	17420
635	30322	17354
636	30335	17287
637	30350	17220
638	30362	17153
639	30376	17086
640	30389	17020
641	30403	16954
642	30417	16888
643	30432	16822
644	30445	16756
645	30460	16692
646	30475	16627
647	30491	16563
648	30505	16498
649	30518	16433
650	30531	16367
651	30544	16302
652	30557	16238
653	30571	16173
654	30585	16109
655	30598	16045
656	30612	15981
657	30626	15918
658	30639	15854
659	30652	15790
660	30664	15726
661	30678	15663
662	30691	15600
663	30706	15538
664	30721	15476
665	30738	15415
666	30752	15353
667	30766	15290
668	30778	15228
669	30792	15166
670	30805	15104
671	30820	15043
672	30834	14981
673	30847	14920
674	30860	14858
675	30874	14797
676	30888	14737
677	30903	14676
678	30918	14616
679	30931	14556
680	30945	14495
681	30958	14435
682	30972	14375
683	30984	14314
684	30997	14254
685	31012	14195
686	31027	14136
687	31040	14076
688	31054	14017
689	31070	13959
690	31085	13900
691	31102	13843
692	31117	13785
693	31132	13727
694	31147	13669
695	31170	13614
696	31186	13557
697	31202	13500
698	31219	13443
699	31234	13386
700	31251	13329
701	31267	13273
702	31282	13216
703	31298	13159
704	31312	13102
705	31327	13045
706	31341	12988
707	31355	12931
708	31368	12874
709	31383	12818
710	31397	12762
711	31412	12706
712	31426	12650
713	31441	12594
714	31454	12537
715	31468	12481
716	31482	12426
717	31496	12370
718	31511	12315
719	31525	12260
720	31540	12204
721	31554	12149
722	31568	12094
723	31582	12039
724	31596	11985
725	31610	11930
726	31627	11876
727	31644	11823
728	31659	11769
729	31675	11715
730	31691	11662
731	31707	11608
732	31723	11555
733	31740	11502
734	31756	11449
735	31771	11396
736	31786	11343
737	31800	11289
738	31814	11236
739	31828	11182
740	31842	11129
741	31856	11076
742	31870	11023
743	31886	10971
744	31902	10919
745	31917	10867
746	31933	10815
747	31948	10763
748	31963	10711
749	31978	10659
750	31993	10607
751	32008	10556
752	32022	10504
753	32038	10452
754	32052	10401
755	32066	10349
756	32081	10298
757	32096	10247
758	32110	10195
759	32124	10144
760	32139	10093
761	32157	10043
762	32172	9993
763	32187	9942
764	32206	9893
765	32224	9843
766	32239	9793
767	32256	9744
768	32277	9695
769	32297	9647
770	32318	9599
771	32336	9550
772	32352	9500
773	32368	9451
774	32384	9401
775	32401	9352
776	32418	9304
777	32435	9255
778	32452	9206
779	32467	9157
780	32483	9108
781	32499	9059
782	32515	9011
783	32531	8962
784	32549	8914
785	32566	8866
786	32582	8818
787	32598	8770
788	32614	8722
789	32631	8674
790	32646	8626
791	32662	8578
792	32678	8530
793	32695	8482
794	32710	8434
795	32728	8387
796	32743	8340
797	32761	8293
798	32776	8245
799	32790	8197
800	32804	8149
801	32819	8102
802	32834	8055
803	32850	8008
804	32867	7961
805	32887	7915
806	32904	7869
807	32922	7823
808	32940	7777
809	32958	7730
810	32977	7685
811	32994	7639
812	33010	7592
813	33028	7547
814	33045	7501
815	33059	7454
816	33075	7408
817	33092	7362
818	33108	7316
819	33124	7271
820	33140	7225
821	33155	7179
822	33171	7134
823	33186	7088
824	33202	7043
825	33219	6997
826	33234	6952
827	33249	6906
828	33263	6861
829	33279	6816
830	33294	6771
831	33308	6725
832	33323	6680
833	33337	6635
834	33353	6590
835	33369	6546
836	33384	6501
837	33401	6457
838	33416	6412
839	33432	6368
840	33447	6323
841	33462	6279
842	33476	6234
843	33490	6190
844	33505	6145
845	33519	6101
846	33536	6057
847	33551	6013
848	33570	5970
849	33587	5927
850	33605	5883
851	33624	5840
852	33641	5797
853	33658	5754
854	33674	5710
855	33691	5667
856	33706	5624
857	33720	5580
858	33736	5537
859	33752	5494
860	33767	5451
861	33783	5408
862	33801	5365
863	33818	5323
864	33835	5280
865	33852	5238
866	33870	5195
867	33887	5153
868	33905	5111
869	33923	5069
870	33941	5026
871	33957	4984
872	33974	4942
873	33990	4900
874	34007	4858
875	34024	4816
876	34041	4774
877	34059	4732
878	34076	4690
879	34092	4649
880	34112	4607
881	34129	4566
882	34146	4524
883	34163	4483
884	34181	4441
885	34199	4400
886	34216	4359
887	34232	4317
888	34249	4276
889	34266	4235
890	34282	4193
891	34299	4152
892	34316	4111
893	34333	4070
894	34349	4029
895	34364	3988
896	34381	3947
897	34397	3907
898	34417	3866
899	34434	3826
900	34451	3785
901	34466	3744
902	34481	3704
903	34496	3663
904	34511	3622
905	34528	3582
906	34544	3542
907	34562	3501
908	34579	3461
909	34598	3421
910	34616	3381
911	34633	3341
912	34650	3301
913	34666	3261
914	34682	3221
915	34697	3181
916	34711	3141
917	34726	3101
918	34742	3062
919	34758	3022
920	34773	2982
921	34790	2943
922	34810	2904
923	34830	2864
924	34849	2825
925	34867	2786
926	34887	2747
927	34905	2708
928	34923	2669
929	34942	2630
930	34960	2591
931	34977	2552
932	34994	2512
933	35016	2474
934	35035	2435
935	35070	2397
936	35090	2359
937	35109	2320
938	35127	2282
939	35146	2243
940	35164	2204
941	35180	2166
942	35197	2127
943	35214	2088
944	35229	2050
945	35246	2011
946	35263	1973
947	35280	1935
948	35299	1896
949	35317	1858
950	35335	1820
951	35355	1782
952	35375	1744
953	35395	1706
954	35412	1668
955	35431	1630
956	35450	1592
957	35468	1554
958	35485	1517
959	35504	1479
960	35521	1441
961	35539	1403
962	35558	1366
963	35578	1328
964	35598	1291
965	35617	1253
966	35636	1216
967	35654	1178
968	35671	1141
969	35689	1103
970	35706	1066
971	35722	1029
972	35738	991
973	35756	954
974	35772	917
975	35789	880
976	35807	842
977	35825	805
978	35842	768
979	35860	731
980	35880	694
981	35901	658
982	35922	621
983	35940	584
984	35959	547
985	35977	510
986	35994	474
987	36011	437
988	36030	400
989	36049	364
990	36069	327
991	36087	291
992	36106	254
993	36124	218
994	36143	181
995	36162	145
